,ngram,count
0,PROPN NUM _,1576
1,NUM _ _,3688
2,VERB ADP DET,63416
3,ADP DET ADJ,65248
4,DET ADJ ADJ,14565
5,ADJ ADJ NOUN,32583
6,ADJ NOUN PUNCT,81057
7,NOUN PUNCT ADP,20320
8,PUNCT ADP NUM,5564
9,ADP NUM PROPN,17150
10,NUM PROPN NUM,17843
11,PROPN NUM PUNCT,20751
12,NUM PUNCT ADP,6113
13,PUNCT ADP DET,20855
14,ADP DET NOUN,161886
15,DET NOUN ADP,146463
16,NOUN ADP DET,176892
17,ADP DET PROPN,98914
18,DET PROPN PUNCT,23785
19,PROPN PUNCT PROPN,204280
20,PUNCT PROPN SYM,1575
21,PROPN SYM NOUN,1348
22,SYM NOUN CCONJ,634
23,NOUN CCONJ PUNCT,1043
24,CCONJ PUNCT PUNCT,670
25,PUNCT PUNCT PROPN,6232
26,PUNCT PROPN PUNCT,155212
27,PROPN PUNCT NUM,5483
28,PUNCT NUM NOUN,4050
29,NUM NOUN NOUN,3312
30,NOUN NOUN VERB,10484
31,NOUN VERB ADP,31630
32,DET NOUN AUX,18313
33,NOUN AUX VERB,18794
34,AUX VERB ADP,25229
35,DET PROPN ADP,27709
36,PROPN ADP PUNCT,2925
37,ADP PUNCT PROPN,2436
38,PUNCT PROPN PROPN,51667
39,PROPN PROPN PUNCT,80070
40,PUNCT PROPN CCONJ,7747
41,PROPN CCONJ PROPN,25968
42,CCONJ PROPN PUNCT,14300
43,PROPN PUNCT ADP,9932
44,ADP DET VERB,6377
45,DET VERB NOUN,9974
46,VERB NOUN ADP,29363
47,NOUN ADP NUM,9414
48,ADP NUM PART,1306
49,NUM PART NUM,1446
50,PART NUM PUNCT,539
51,ADP NUM NOUN,6074
52,NUM NOUN PUNCT,7354
53,NOUN PUNCT SCONJ,6324
54,PUNCT SCONJ VERB,2979
55,SCONJ VERB PUNCT,928
56,VERB PUNCT _,14460
57,PUNCT _ _,190039
58,ADP NOUN PUNCT,33308
59,NOUN PUNCT PROPN,15315
60,PROPN PROPN PART,8748
61,PROPN PART PROPN,4550
62,PART PROPN ADP,1087
63,PROPN ADP PROPN,47652
64,ADP PROPN PUNCT,33666
65,PROPN PROPN ADP,49418
66,PROPN ADP DET,40865
67,ADP PUNCT PUNCT,2017
68,PART PROPN PROPN,2173
69,PROPN PUNCT ADJ,8865
70,PUNCT ADJ PROPN,7558
71,ADJ PROPN PROPN,6940
72,PROPN PROPN PROPN,63537
73,PROPN PROPN CCONJ,17740
74,PROPN CCONJ DET,9425
75,CCONJ DET PROPN,7595
76,PUNCT PROPN _,1872
77,PROPN _ _,11644
78,PUNCT PROPN ADP,6815
79,PROPN PUNCT DET,14158
80,PUNCT DET ADJ,9509
81,DET ADJ PROPN,6336
82,ADP PROPN PROPN,35660
83,CCONJ PROPN PROPN,10589
84,X PUNCT NOUN,4561
85,PUNCT NOUN ADP,9596
86,NOUN ADP ADJ,44230
87,ADP ADJ NOUN,49475
88,ADJ NOUN ADP,87913
89,NOUN ADP NOUN,81280
90,ADP NOUN CCONJ,15413
91,NOUN CCONJ DET,11993
92,CCONJ DET ADJ,6832
93,DET ADJ NOUN,104952
94,ADP NOUN NOUN,13930
95,NOUN NOUN _,986
96,NOUN _ _,5728
97,VERB DET NOUN,83261
98,DET PROPN PROPN,68365
99,PUNCT PROPN NUM,2256
100,PROPN NUM NOUN,1149
101,NOUN PUNCT NUM,1818
102,PUNCT NUM PUNCT,5625
103,NUM PUNCT PUNCT,1771
104,PUNCT PUNCT ADV,669
105,PUNCT ADV ADV,4875
106,ADV ADV SCONJ,6105
107,ADV SCONJ NOUN,1034
108,SCONJ NOUN NUM,56
109,NOUN NUM ADP,5116
110,NUM ADP DET,6590
111,ADP PROPN CCONJ,10761
112,PROPN PUNCT VERB,13229
113,PUNCT VERB NOUN,12849
114,VERB NOUN NUM,1060
115,NOUN NUM NOUN,1265
116,PROPN PUNCT PUNCT,11249
117,PUNCT PUNCT NOUN,3086
118,PUNCT NOUN PUNCT,20336
119,NOUN PUNCT _,100634
120,VERB DET PUNCT,1268
121,DET PUNCT SCONJ,146
122,SCONJ VERB ADP,2796
123,ADP PROPN ADP,11197
124,PUNCT NUM SYM,1097
125,NUM SYM NUM,2868
126,SYM NUM PROPN,883
127,NUM PUNCT PROPN,5582
128,PROPN PROPN NOUN,15569
129,PROPN NOUN PUNCT,11505
130,PUNCT PROPN INTJ,1070
131,PROPN INTJ PUNCT,946
132,INTJ PUNCT PROPN,944
133,PROPN PUNCT PRON,4301
134,PUNCT PRON PUNCT,1257
135,PRON PUNCT NOUN,1056
136,PUNCT NOUN NUM,2104
137,NOUN NUM PUNCT,8474
138,NUM PUNCT NOUN,11393
139,NOUN PUNCT NOUN,28825
140,PUNCT NOUN NOUN,12888
141,NOUN NOUN ADP,24775
142,NOUN ADP VERB,15987
143,ADP VERB NOUN,8730
144,VERB NOUN AUX,1240
145,NOUN AUX DET,4480
146,AUX DET ADJ,8642
147,ADJ NOUN CCONJ,28283
148,NOUN CCONJ SCONJ,1012
149,CCONJ SCONJ NOUN,358
150,SCONJ NOUN ADP,2276
151,ADP NOUN ADV,1680
