,ngram,count
0,PROPN ADP PUNCT,94
1,ADP PUNCT PROPN,280
2,PUNCT PROPN PROPN,2563
3,PROPN PROPN PUNCT,2583
4,PROPN PUNCT _,3868
5,PUNCT _ _,112315
6,PROPN VERB PUNCT,3453
7,VERB PUNCT NOUN,4148
8,PUNCT NOUN VERB,3482
9,NOUN VERB NOUN,14884
10,VERB NOUN VERB,8480
11,NOUN VERB ADP,2669
12,VERB ADP NOUN,4407
13,ADP NOUN NOUN,7828
14,NOUN NOUN PART,12271
15,NOUN PART PART,2105
16,PART PART NOUN,1814
17,PART NOUN NOUN,12153
18,NOUN NOUN PUNCT,27097
19,NOUN PUNCT _,58352
20,VERB NUM NUM,6153
21,NUM NUM VERB,1930
22,NUM VERB NOUN,830
23,VERB NOUN CCONJ,2534
24,NOUN CCONJ NOUN,10363
25,CCONJ NOUN PART,1649
26,NOUN PART NOUN,23218
27,ADP PROPN VERB,2614
28,PROPN VERB NOUN,2791
29,VERB NOUN PROPN,875
30,NOUN PROPN NOUN,2833
31,PROPN NOUN PUNCT,5125
32,NOUN PUNCT ADV,6939
33,PUNCT ADV ADV,1980
34,ADV ADV VERB,12698
35,ADV VERB PRON,2867
36,VERB PRON NOUN,912
37,PRON NOUN PUNCT,353
38,NOUN PUNCT PART,1334
39,PUNCT PART DET,17
40,PART DET NOUN,902
41,DET NOUN VERB,3283
42,NOUN VERB PUNCT,15550
43,VERB PUNCT _,29554
44,VERB VERB NOUN,10816
45,VERB NOUN NOUN,16658
46,NOUN NOUN NOUN,20179
47,NOUN PART ADJ,2475
48,PART ADJ NOUN,5293
49,ADJ NOUN PUNCT,9452
50,NOUN PUNCT VERB,7577
51,PUNCT VERB ADP,594
52,VERB ADP ADJ,438
53,ADP ADJ NOUN,1667
54,ADJ NOUN VERB,3623
55,VERB NOUN PUNCT,17816
56,NOUN NOUN ADV,8052
57,NOUN ADV VERB,22460
58,ADV VERB PROPN,3444
59,VERB PROPN PUNCT,2675
60,PROPN PUNCT PROPN,5538
61,PUNCT PROPN PUNCT,4570
62,PUNCT PROPN PART,915
63,PROPN PART NOUN,5565
64,DET NOUN NOUN,2138
65,ADV VERB NOUN,14983
66,ADV DET NUM,213
67,DET NUM NUM,1396
68,NUM NUM PROPN,879
69,NUM PROPN NOUN,1083
70,PROPN NOUN ADV,2687
71,PUNCT VERB NOUN,4416
72,ADV VERB VERB,12354
73,VERB NOUN PART,8907
74,NOUN PART VERB,7081
75,PART VERB NUM,522
76,VERB NUM NOUN,3498
77,NUM NOUN PUNCT,5949
78,VERB PROPN NOUN,6505
79,PROPN NOUN PROPN,2810
80,NOUN PROPN PUNCT,2615
81,PROPN PUNCT PART,594
82,PUNCT PART NOUN,1349
83,PART NOUN PUNCT,23948
84,NOUN PUNCT PROPN,5145
85,PUNCT PROPN NOUN,4632
86,PROPN NOUN NOUN,8789
87,NOUN ADV ADV,5597
88,NOUN VERB VERB,10280
89,VERB VERB PROPN,2803
90,VERB PROPN ADV,538
91,PROPN ADV NOUN,87
92,ADV NOUN NOUN,1347
93,NOUN NOUN ADJ,643
94,NOUN ADJ NOUN,2478
95,PUNCT ADV VERB,6029
96,ADJ NOUN NUM,115
97,NOUN NUM X,9
98,NUM X VERB,49
99,X VERB NOUN,301
100,NOUN NOUN VERB,16677
101,VERB NOUN DET,199
102,NOUN DET PART,10
103,DET PART ADJ,15
104,NOUN PUNCT NOUN,11613
105,PUNCT NOUN PUNCT,5315
106,PUNCT NOUN CCONJ,1799
107,CCONJ NOUN PUNCT,2887
108,PUNCT VERB ADJ,547
109,VERB ADJ NOUN,6603
110,ADJ NOUN _,338
111,NOUN _ _,4650
112,ADP PROPN PART,1748
113,PROPN PART NUM,330
114,PART NUM NOUN,1004
115,NUM NOUN VERB,4808
116,PUNCT NOUN X,77
117,NOUN X NOUN,295
118,X NOUN VERB,884
119,PART VERB NOUN,2475
120,NUM PROPN ADP,28
121,ADP PUNCT NOUN,342
122,PUNCT NOUN NOUN,7269
123,NOUN VERB ADV,2820
124,VERB ADV VERB,6841
125,ADV VERB PUNCT,14101
126,PRON VERB PROPN,864
127,ADV VERB CCONJ,511
128,VERB CCONJ VERB,1347
129,CCONJ VERB NOUN,1247
130,NUM NUM NOUN,8827
131,NUM NOUN PART,2927
132,NOUN PART PUNCT,8016
133,PART PUNCT PROPN,879
134,PUNCT PROPN ADV,729
135,PROPN ADV VERB,3420
136,ADV VERB ADJ,2190
137,NOUN PUNCT ADP,2607
138,PUNCT ADP NOUN,2362
139,ADP NOUN PART,4589
140,PART VERB PART,2887
141,VERB PART ADJ,1724
142,ADJ NOUN PART,3308
143,PART PUNCT _,9452
144,ADV ADV ADV,1945
145,ADV VERB PART,8436
146,VERB PART VERB,3458
147,ADP NOUN VERB,5822
148,VERB VERB VERB,4935
149,VERB VERB PRON,1997
150,VERB PRON PART,2647
151,PRON PART NOUN,4929
152,PUNCT PROPN _,301
153,PROPN _ _,902
154,NOUN PART ADV,1733
155,PART ADV ADV,365
156,NOUN VERB PART,9232
157,VERB PART PUNCT,5069
158,PART PUNCT ADJ,231
159,PUNCT ADJ NOUN,2020
160,ADJ NOUN NOUN,5478
161,NOUN PUNCT PUNCT,5205
162,PUNCT PUNCT _,4484
163,VERB VERB NUM,1899
164,NUM NOUN NOUN,3826
165,NOUN NOUN CCONJ,3783
166,PRON VERB VERB,3499
167,VERB VERB DET,1833
168,VERB DET VERB,601
169,DET VERB PART,389
170,VERB PART NOUN,16167
171,PART NOUN ADP,1127
172,NOUN ADP VERB,879
173,ADP VERB ADJ,186
174,PART NOUN _,735
175,VERB PRON CCONJ,97
176,PRON CCONJ DET,49
177,CCONJ DET NOUN,485
178,VERB PART DET,953
179,PART DET DET,61
180,DET DET PART,9
181,DET PART ADV,4
182,PART ADV VERB,2225
183,NOUN PROPN ADV,534
184,NUM NUM ADV,695
185,NUM ADV ADV,129
186,PART VERB VERB,1176
187,NOUN ADP NOUN,5110
188,ADP NOUN CCONJ,919
189,NOUN CCONJ PRON,176
190,CCONJ PRON NOUN,63
191,PRON NOUN PART,598
192,PART VERB ADJ,349
193,ADP NOUN PROPN,644
194,NOUN PROPN VERB,1946
195,PROPN VERB VERB,1692
196,VERB ADP DET,632
197,ADP DET NOUN,1788
198,PUNCT ADV ADP,1260
199,ADV ADP NOUN,3821
200,NOUN VERB NUM,2915
201,PROPN NOUN VERB,6121
202,PUNCT NOUN PROPN,961
203,NOUN PROPN ADP,524
204,PROPN ADP PROPN,1268
205,ADP PROPN PUNCT,1041
206,PROPN PUNCT ADJ,341
207,PUNCT ADJ PROPN,128
208,ADJ PROPN ADP,19
209,ADP PROPN _,28
210,DET NUM NOUN,2864
211,PUNCT PROPN NUM,304
212,PROPN NUM PART,31
213,NUM PART NOUN,1653
214,PART NOUN VERB,7751
215,NOUN PUNCT DET,977
216,PUNCT DET NUM,506
217,NOUN VERB PROPN,3976
218,PROPN PUNCT VERB,1689
219,PUNCT VERB PROPN,1309
220,VERB PROPN CCONJ,596
221,PROPN CCONJ PROPN,2060
222,CCONJ PROPN PUNCT,494
223,PROPN PUNCT ADV,760
224,PUNCT ADV PRON,734
225,ADV PRON PART,291
226,PART NOUN ADV,4606
227,NOUN PART NUM,1167
228,PART NUM PUNCT,282
229,NUM PUNCT _,2874
230,ADJ NOUN ADV,1562
231,NOUN ADV ADP,2205
232,ADV ADP ADV,163
233,ADP ADV VERB,710
234,PART PUNCT NOUN,1367
235,PUNCT NOUN PART,1671
236,VERB VERB ADP,1171
237,ADP NOUN NUM,363
238,NOUN NUM PUNCT,470
239,NUM PUNCT NOUN,717
240,PART NOUN CCONJ,2274
241,NOUN CCONJ ADJ,964
242,CCONJ ADJ NOUN,1024
243,PRON ADV VERB,7041
244,ADV VERB NUM,3483
245,VERB VERB PART,4536
246,NOUN VERB PRON,1992
247,VERB PRON PUNCT,1700
248,PRON PUNCT _,1606
249,PROPN NOUN PART,4097
250,PRON ADP NUM,113
251,ADP NUM NUM,1243
252,NUM VERB PART,615
253,NOUN NOUN ADP,2721
254,PRON VERB PUNCT,1925
255,PROPN PUNCT NOUN,3115
256,NOUN ADV NUM,431
257,ADV NUM NOUN,1200
258,CCONJ NOUN NOUN,4433
259,ADV VERB DET,2402
260,VERB DET NOUN,4901
261,DET NOUN PUNCT,3394
262,ADP PUNCT NUM,22
263,PUNCT NUM PUNCT,640
264,PROPN PUNCT NUM,292
265,PUNCT NUM NOUN,943
266,NOUN ADP PROPN,2932
267,PROPN VERB PART,2085
268,DET PROPN PROPN,82
269,PROPN PROPN VERB,2145
270,ADV PUNCT NOUN,326
271,NOUN VERB ADJ,1946
272,PART PUNCT ADP,283
273,PUNCT ADP VERB,576
274,ADP VERB NOUN,1955
275,PUNCT ADP ADV,157
276,PUNCT DET ADJ,99
277,DET ADJ NOUN,1001
278,NOUN PUNCT ADJ,957
279,NOUN VERB CCONJ,544
280,VERB CCONJ ADV,151
281,CCONJ ADV VERB,403
282,PART NOUN PART,3979
283,ADV ADV ADP,991
284,VERB PUNCT VERB,3145
285,PUNCT VERB VERB,2127
286,ADJ NOUN CCONJ,1064
287,CCONJ NOUN PROPN,248
288,PROPN PUNCT ADP,766
289,PUNCT ADP PROPN,1098
290,PUNCT VERB NUM,730
291,PROPN ADV ADJ,69
292,ADV ADJ NOUN,989
293,PUNCT NOUN ADV,1793
294,VERB PROPN PART,2245
295,VERB PRON VERB,3106
296,PRON VERB ADV,1075
297,VERB ADV ADP,435
298,ADV ADP PROPN,1599
299,PROPN VERB ADJ,384
300,VERB VERB PUNCT,6690
301,PROPN NOUN CCONJ,984
302,CCONJ NOUN PRON,26
303,NOUN PRON VERB,412
304,PRON VERB ADP,893
305,VERB ADP PROPN,2183
306,PART NUM NUM,2670
307,VERB PUNCT PROPN,1989
308,PROPN PROPN ADP,771
309,ADP PROPN PROPN,1110
310,PROPN PROPN NOUN,2492
311,PART VERB PUNCT,3256
312,ADP VERB PART,676
313,VERB ADJ VERB,115
314,ADJ VERB CCONJ,16
315,VERB CCONJ NOUN,438
316,CCONJ NOUN VERB,1519
317,VERB PROPN PROPN,1078
318,PROPN PROPN PART,856
319,PROPN PART PROPN,997
