,ngram,count
0,PROPN ADP PUNCT PROPN PROPN,2
1,ADP PUNCT PROPN PROPN PUNCT,10
2,PUNCT PROPN PROPN PUNCT _,56
3,PROPN PROPN PUNCT _ _,409
4,PROPN VERB PUNCT NOUN VERB,53
5,VERB PUNCT NOUN VERB NOUN,125
6,PUNCT NOUN VERB NOUN VERB,108
7,NOUN VERB NOUN VERB ADP,51
8,VERB NOUN VERB ADP NOUN,118
9,NOUN VERB ADP NOUN NOUN,380
10,VERB ADP NOUN NOUN PART,339
11,ADP NOUN NOUN PART PART,91
12,NOUN NOUN PART PART NOUN,308
13,NOUN PART PART NOUN NOUN,305
14,PART PART NOUN NOUN PUNCT,203
15,PART NOUN NOUN PUNCT _,3334
16,NOUN NOUN PUNCT _ _,13762
17,VERB NUM NUM VERB NOUN,148
18,NUM NUM VERB NOUN CCONJ,13
19,NUM VERB NOUN CCONJ NOUN,19
20,VERB NOUN CCONJ NOUN PART,248
21,NOUN CCONJ NOUN PART NOUN,726
22,CCONJ NOUN PART NOUN NOUN,160
23,NOUN PART NOUN NOUN PUNCT,1950
24,ADP PROPN VERB NOUN PROPN,6
25,PROPN VERB NOUN PROPN NOUN,20
26,VERB NOUN PROPN NOUN PUNCT,43
27,NOUN PROPN NOUN PUNCT ADV,25
28,PROPN NOUN PUNCT ADV ADV,51
29,NOUN PUNCT ADV ADV VERB,734
30,PUNCT ADV ADV VERB PRON,65
31,ADV ADV VERB PRON NOUN,51
32,ADV VERB PRON NOUN PUNCT,76
33,VERB PRON NOUN PUNCT PART,1
34,PRON NOUN PUNCT PART DET,1
35,NOUN PUNCT PART DET NOUN,2
36,PUNCT PART DET NOUN VERB,3
37,PART DET NOUN VERB PUNCT,25
38,DET NOUN VERB PUNCT _,305
39,NOUN VERB PUNCT _ _,9050
40,VERB VERB NOUN NOUN NOUN,536
41,VERB NOUN NOUN NOUN NOUN,601
42,NOUN NOUN NOUN NOUN PART,446
43,NOUN NOUN NOUN PART ADJ,177
44,NOUN NOUN PART ADJ NOUN,729
45,NOUN PART ADJ NOUN PUNCT,1267
46,PART ADJ NOUN PUNCT VERB,164
47,ADJ NOUN PUNCT VERB ADP,25
48,NOUN PUNCT VERB ADP ADJ,19
49,PUNCT VERB ADP ADJ NOUN,29
50,VERB ADP ADJ NOUN VERB,94
51,ADP ADJ NOUN VERB NOUN,137
52,ADJ NOUN VERB NOUN PUNCT,332
53,NOUN VERB NOUN PUNCT _,3450
54,VERB NOUN PUNCT _ _,11160
55,NOUN NOUN ADV VERB PROPN,233
56,NOUN ADV VERB PROPN PUNCT,170
57,ADV VERB PROPN PUNCT PROPN,107
58,VERB PROPN PUNCT PROPN PUNCT,254
59,PROPN PUNCT PROPN PUNCT PROPN,952
60,PUNCT PROPN PUNCT PROPN PART,133
