,ngram,count
0,PROPN ADP,3926
1,ADP PUNCT,975
2,PUNCT PROPN,17269
3,PROPN PROPN,11363
4,PROPN PUNCT,19170
5,PUNCT _,112315
6,_ _,120433
7,PROPN VERB,14386
8,VERB PUNCT,49194
9,PUNCT NOUN,24297
10,NOUN VERB,69302
11,VERB NOUN,61434
12,VERB ADP,10237
13,ADP NOUN,23488
14,NOUN NOUN,97750
15,NOUN PART,48587
16,PART PART,3084
17,PART NOUN,58193
18,NOUN PUNCT,105466
19,VERB NUM,12214
20,NUM NUM,20243
21,NUM VERB,3242
22,NOUN CCONJ,15259
23,CCONJ NOUN,12175
24,ADP PROPN,12507
25,NOUN PROPN,12044
26,PROPN NOUN,33472
27,PUNCT ADV,13222
28,ADV ADV,17177
29,ADV VERB,71467
30,VERB PRON,11010
31,PRON NOUN,2755
32,PUNCT PART,2432
33,PART DET,1729
34,DET NOUN,14815
35,VERB VERB,40609
36,PART ADJ,5777
37,ADJ NOUN,26500
38,PUNCT VERB,15127
39,ADP ADJ,2089
40,NOUN ADV,32618
41,VERB PROPN,16921
42,PROPN PART,9238
43,ADV DET,1250
44,DET NUM,4982
45,NUM PROPN,1712
46,PART VERB,12809
47,NUM NOUN,22238
48,PROPN ADV,5113
49,ADV NOUN,5512
50,NOUN ADJ,2920
51,NOUN NUM,4072
52,NUM X,90
53,X VERB,2458
54,NOUN DET,1160
55,DET PART,274
56,VERB ADJ,8344
57,NOUN _,4650
58,PART NUM,4356
59,NOUN X,1337
60,X NOUN,1644
61,VERB ADV,10973
62,PRON VERB,15920
63,VERB CCONJ,2201
64,CCONJ VERB,3412
65,PART PUNCT,15229
66,PUNCT ADP,5701
67,VERB PART,34695
68,PRON PART,6372
69,PROPN _,902
70,PART ADV,3274
71,PUNCT ADJ,2558
72,PUNCT PUNCT,10975
73,VERB DET,8398
74,DET VERB,1430
75,NOUN ADP,11424
76,ADP VERB,4865
77,PRON CCONJ,345
78,CCONJ DET,849
79,DET DET,437
80,NUM ADV,1208
81,CCONJ PRON,430
82,ADP DET,3180
83,ADV ADP,8438
84,ADJ PROPN,792
85,PROPN NUM,1608
86,NUM PART,3160
87,PUNCT DET,2279
88,PROPN CCONJ,3137
89,CCONJ PROPN,3529
90,ADV PRON,2979
91,NUM PUNCT,6346
92,ADP ADV,1162
93,CCONJ ADJ,1237
94,PRON ADV,10034
95,PRON PUNCT,2339
96,PRON ADP,2961
97,ADP NUM,2161
98,ADV NUM,3283
99,PUNCT NUM,3449
100,DET PROPN,921
101,ADV PUNCT,2839
102,DET ADJ,1510
103,CCONJ ADV,624
104,ADV ADJ,1545
105,NOUN PRON,1179
106,ADJ VERB,398
107,PART PROPN,5490
108,PROPN DET,574
109,PROPN ADJ,1858
110,ADP ADP,708
111,PUNCT PRON,5551
112,ADP PRON,4635
113,ADJ CCONJ,60
114,ADJ PART,3806
115,PRON DET,268
116,INTJ PUNCT,161
117,DET ADV,506
118,NOUN SCONJ,342
119,SCONJ NOUN,941
120,PART ADP,928
121,PUNCT SCONJ,904
122,SCONJ DET,193
123,ADV PROPN,2059
124,SCONJ ADP,197
125,ADJ NUM,360
126,ADV X,1613
127,SCONJ PRON,826
128,PART PRON,1120
129,PRON PRON,402
130,VERB _,2064
131,PRON SCONJ,108
132,SCONJ VERB,1059
133,PROPN PRON,336
134,X DET,293
135,VERB X,1064
136,PART CCONJ,111
137,NUM ADJ,2314
138,CCONJ ADP,449
139,VERB SCONJ,169
140,PUNCT X,461
141,ADV PART,684
142,NUM _,249
143,PRON _,48
144,ADV CCONJ,162
145,CCONJ NUM,1071
146,NUM PRON,184
147,PROPN SCONJ,51
148,X PRON,463
149,PUNCT CCONJ,1669
150,ADV SCONJ,233
151,X PROPN,467
152,NUM CCONJ,422
153,NUM ADP,786
154,ADJ PUNCT,188
155,PROPN X,306
156,X ADJ,139
157,X PUNCT,164
158,PRON X,277
159,CCONJ PUNCT,340
160,X NUM,188
161,PART X,318
162,DET ADP,368
163,PRON NUM,309
164,PRON PROPN,254
165,ADP X,103
166,X ADP,32
167,ADP PART,65
168,ADJ ADJ,574
169,PRON ADJ,276
170,SCONJ X,36
171,ADV _,35
