,en,zhs,zhs_ud
0,-10.411255939930653,-5.770348115545692,NUM PROPN NOUN NOUN ADV VERB VERB PUNCT 
1,-12.715108364655356,-8.058603005069818,NOUN ADP NOUN NOUN NOUN ADV VERB ADJ NOUN PUNCT 
2,-58.43545369250646,-41.894009220355144,NOUN PART NOUN NOUN NOUN ADJ NOUN PROPN VERB VERB PUNCT NOUN ADP NOUN PART VERB VERB PART PUNCT VERB NUM NUM NOUN NOUN VERB NOUN PUNCT 
3,-17.284128094506812,-11.042323681484659,VERB PUNCT PRON CCONJ NOUN PART NOUN ADV VERB PUNCT 
4,-23.563680268617205,-16.849580872078253,NUM NUM PUNCT PROPN NOUN NOUN ADV ADP PRON VERB NOUN NOUN PUNCT 
5,-17.67354780463037,-14.36091568253197,ADJ PART NOUN ADV ADP DET NOUN NOUN PART NOUN VERB PUNCT 
6,-0.9206474145994894,-2.736292333762855,X NOUN NOUN PUNCT NOUN 
7,-14.489061197119712,-14.343465845296565,ADV VERB PART VERB NUM NOUN VERB NOUN NOUN CCONJ NOUN PUNCT 
8,-20.223221803054454,-10.754833703650638,SCONJ X PROPN VERB VERB PROPN ADV ADV VERB PUNCT 
9,-7.566030279817095,-4.724356505542135,PROPN ADV VERB NOUN VERB NOUN PUNCT 
10,-19.02306703519296,-15.141341470188863,PROPN PART PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN ADV ADV VERB PROPN PUNCT 
11,-16.973502163414736,-10.185759416457788,PRON VERB DET NOUN NOUN ADV VERB PART PROPN NOUN PUNCT 
12,-16.12601511928191,-8.102016790588795,VERB NOUN ADP NOUN VERB CCONJ VERB PART NOUN PUNCT 
13,-29.31188382585563,-20.86775924209537,PRON VERB NOUN ADV VERB NOUN NOUN PUNCT VERB ADP NOUN PART NOUN CCONJ NOUN NOUN NOUN PUNCT 
14,-57.24366819819164,-40.963161570321844,PRON ADV VERB VERB NOUN CCONJ VERB NOUN PUNCT ADP NOUN ADV VERB NOUN PART NOUN NOUN PUNCT VERB NOUN VERB PUNCT NOUN VERB PUNCT NOUN NOUN PART PUNCT 
15,-2.9698470223424693,-1.3297373140549114,PRON ADP NOUN VERB PUNCT 
16,-31.7434461569226,-25.636118868253437,ADV VERB NOUN PUNCT ADP DET NOUN VERB NUM PUNCT NUM PUNCT VERB NOUN PART NOUN PART PUNCT 
17,-51.810619063001226,-38.743124806915,VERB VERB PROPN PART NOUN NOUN PUNCT PROPN VERB NOUN PART NOUN PUNCT PROPN PART NOUN PUNCT PROPN ADP PRON NOUN VERB NOUN PART NOUN PUNCT 
18,-2.582641735570949,-1.441413056623515,VERB NOUN CCONJ NOUN NOUN PUNCT 
19,-49.03753423219579,-36.10945157309294,ADP VERB NOUN NOUN ADP PROPN PROPN PART NUM NUM NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN ADV VERB VERB ADJ NOUN NOUN NOUN PART NOUN PUNCT 
20,-4.334316612682459,-2.7408375260825126,NOUN ADV VERB NOUN NOUN PUNCT 
21,0.0,0.0,NOUN VERB NUM 
22,-18.77997358436304,-24.221434802939577,NOUN ADP PROPN DET VERB ADP VERB NOUN NOUN VERB VERB PUNCT 
23,-9.060975091753217,-8.228544054599427,PRON ADV VERB VERB ADP NOUN CCONJ NOUN PUNCT 
24,-35.58147070176478,-26.59278951423197,PROPN NOUN VERB VERB VERB VERB PRON PUNCT ADV VERB NOUN VERB PUNCT PUNCT PROPN PUNCT PROPN PUNCT 
25,-6.0771286540150795,-3.382432382289138,DET VERB PROPN NOUN PART NOUN PUNCT 
26,-32.39300186452039,-26.17758507232484,PUNCT NOUN VERB PRON PUNCT PUNCT NOUN NOUN PROPN VERB NOUN VERB VERB PROPN PART NOUN 
27,-1.47710535428471,-0.8197943512631372,VERB PART NOUN PUNCT 
28,-14.791026041737819,-8.884354528308766,ADV VERB NOUN VERB VERB NOUN PART NOUN NOUN PUNCT 
29,-2.504366856349058,-1.29658875481129,NOUN ADP NOUN VERB PUNCT 
30,0.0,0.0,PROPN VERB PUNCT 
31,-67.95527484413549,-44.47792544111566,ADV NOUN NOUN PUNCT PROPN NOUN CCONJ NOUN PART PUNCT NOUN ADV VERB PART NOUN CCONJ NOUN NOUN PUNCT NUM NUM ADJ NOUN CCONJ NOUN NOUN VERB VERB PRON PART NOUN PUNCT 
32,-10.689961544076485,-6.745655644126556,NUM ADJ NOUN ADV ADV VERB ADJ NOUN PUNCT 
