,en,zhs,zhs_ud
0,-7.882762356707778,-4.293277587590202,NUM PROPN NOUN NOUN ADV VERB VERB PUNCT 
1,-10.393533363191427,-6.520668470989633,NOUN ADP NOUN NOUN NOUN ADV VERB ADJ NOUN PUNCT 
2,-56.86930898431715,-39.35271475702676,NOUN PART NOUN NOUN NOUN ADJ NOUN PROPN VERB VERB PUNCT NOUN ADP NOUN PART VERB VERB PART PUNCT VERB NUM NUM NOUN NOUN VERB NOUN PUNCT 
3,-19.880863096834265,-7.861597934392548,VERB PUNCT PRON CCONJ NOUN PART NOUN ADV VERB PUNCT 
4,-19.556002706315393,-13.582738893044255,NUM NUM PUNCT PROPN NOUN NOUN ADV ADP PRON VERB NOUN NOUN PUNCT 
5,-15.972384916570082,-11.47340802005863,ADJ PART NOUN ADV ADP DET NOUN NOUN PART NOUN VERB PUNCT 
6,-1.5362343580396007,-1.0621346474529854,X NOUN NOUN PUNCT NOUN 
7,-13.661274048467314,-13.055005353844997,ADV VERB PART VERB NUM NOUN VERB NOUN NOUN CCONJ NOUN PUNCT 
8,-22.353309085026275,-11.364736552425851,SCONJ X PROPN VERB VERB PROPN ADV ADV VERB PUNCT 
9,-5.40333869022467,-3.4656876157851713,PROPN ADV VERB NOUN VERB NOUN PUNCT 
10,-16.12493070682034,-11.307815594495557,PROPN PART PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN ADV ADV VERB PROPN PUNCT 
11,-19.44340698845441,-9.897825534665007,PRON VERB DET NOUN NOUN ADV VERB PART PROPN NOUN PUNCT 
12,-12.572304086827828,-7.285402946447086,VERB NOUN ADP NOUN VERB CCONJ VERB PART NOUN PUNCT 
13,-24.826489866069213,-17.835695432631592,PRON VERB NOUN ADV VERB NOUN NOUN PUNCT VERB ADP NOUN PART NOUN CCONJ NOUN NOUN NOUN PUNCT 
14,-52.287704507038285,-37.96192967572346,PRON ADV VERB VERB NOUN CCONJ VERB NOUN PUNCT ADP NOUN ADV VERB NOUN PART NOUN NOUN PUNCT VERB NOUN VERB PUNCT NOUN VERB PUNCT NOUN NOUN PART PUNCT 
15,-4.494993624607187,-1.6011905011245726,PRON ADP NOUN VERB PUNCT 
16,-29.30748588943763,-24.313445333097924,ADV VERB NOUN PUNCT ADP DET NOUN VERB NUM PUNCT NUM PUNCT VERB NOUN PART NOUN PART PUNCT 
17,-56.76038829825916,-35.87822468315687,VERB VERB PROPN PART NOUN NOUN PUNCT PROPN VERB NOUN PART NOUN PUNCT PROPN PART NOUN PUNCT PROPN ADP PRON NOUN VERB NOUN PART NOUN PUNCT 
18,-1.5462943632891555,-0.9511819570369566,VERB NOUN CCONJ NOUN NOUN PUNCT 
19,-46.42273936569987,-33.714001251814324,ADP VERB NOUN NOUN ADP PROPN PROPN PART NUM NUM NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN ADV VERB VERB ADJ NOUN NOUN NOUN PART NOUN PUNCT 
20,-2.044383190586301,-1.3731367690917762,NOUN ADV VERB NOUN NOUN PUNCT 
21,0.0,0.0,NOUN VERB NUM 
22,-13.862432072439596,-27.59301741193396,NOUN ADP PROPN DET VERB ADP VERB NOUN NOUN VERB VERB PUNCT 
23,-6.598805747690843,-6.404438350910205,PRON ADV VERB VERB ADP NOUN CCONJ NOUN PUNCT 
24,-31.86542749575588,-24.955213694971434,PROPN NOUN VERB VERB VERB VERB PRON PUNCT ADV VERB NOUN VERB PUNCT PUNCT PROPN PUNCT PROPN PUNCT 
25,-5.512163568785965,-1.8049245391374737,DET VERB PROPN NOUN PART NOUN PUNCT 
26,-28.732769841612523,-24.13885136033274,PUNCT NOUN VERB PRON PUNCT PUNCT NOUN NOUN PROPN VERB NOUN VERB VERB PROPN PART NOUN 
27,0.0,0.0,VERB PART NOUN PUNCT 
28,-12.177360849427272,-7.298709532635284,ADV VERB NOUN VERB VERB NOUN PART NOUN NOUN PUNCT 
29,-2.9317606408226644,-1.2628419444296148,NOUN ADP NOUN VERB PUNCT 
30,0.0,0.0,PROPN VERB PUNCT 
31,-71.999602140162,-40.87204037712832,ADV NOUN NOUN PUNCT PROPN NOUN CCONJ NOUN PART PUNCT NOUN ADV VERB PART NOUN CCONJ NOUN NOUN PUNCT NUM NUM ADJ NOUN CCONJ NOUN NOUN VERB VERB PRON PART NOUN PUNCT 
32,-10.380208827091087,-4.659455527156733,NUM ADJ NOUN ADV ADV VERB ADJ NOUN PUNCT 
33,-51.8908693458425,-27.65348514569571,VERB PUNCT PRON NUM NUM VERB ADJ NOUN VERB ADP NOUN VERB DET PROPN PUNCT PROPN PUNCT VERB VERB PUNCT 
34,-12.002145513246774,-4.699972520925012,ADV NOUN ADV VERB ADJ PART NOUN PUNCT 
35,-28.757658768132153,-10.233627770295117,ADP VERB VERB VERB VERB PART NOUN PART ADJ NOUN PUNCT 
36,-2.4897419482780876,-1.348670367343918,NOUN VERB NUM NUM PUNCT 
