,en,zhs,zhs_ud
0,-16.08311314701309,-11.102631380124144,NUM PROPN NOUN NOUN ADV VERB VERB PUNCT 
1,-16.29834893115815,-14.034015922400545,NOUN ADP NOUN NOUN NOUN ADV VERB ADJ NOUN PUNCT 
2,-65.46465996861869,-49.39652660272049,NOUN PART NOUN NOUN NOUN ADJ NOUN PROPN VERB VERB PUNCT NOUN ADP NOUN PART VERB VERB PART PUNCT VERB NUM NUM NOUN NOUN VERB NOUN PUNCT 
3,-22.240671545543975,-16.703522869823416,VERB PUNCT PRON CCONJ NOUN PART NOUN ADV VERB PUNCT 
4,-27.176222824172285,-20.08375446015798,NUM NUM PUNCT PROPN NOUN NOUN ADV ADP PRON VERB NOUN NOUN PUNCT 
5,-23.547597192210674,-17.40005336716421,ADJ PART NOUN ADV ADP DET NOUN NOUN PART NOUN VERB PUNCT 
6,-6.726887094132635,-4.0937176887848965,X NOUN NOUN PUNCT NOUN 
7,-21.952803313108344,-17.51637822118856,ADV VERB PART VERB NUM NOUN VERB NOUN NOUN CCONJ NOUN PUNCT 
8,-27.15799356368545,-19.428530910443673,SCONJ X PROPN VERB VERB PROPN ADV ADV VERB PUNCT 
9,-12.99966446149468,-8.269397094636014,PROPN ADV VERB NOUN VERB NOUN PUNCT 
10,-30.812885489512954,-27.6255764088215,PROPN PART PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN ADV ADV VERB PROPN PUNCT 
11,-19.511488530327135,-15.69019319301585,PRON VERB DET NOUN NOUN ADV VERB PART PROPN NOUN PUNCT 
12,-18.606838152246578,-17.17447157272875,VERB NOUN ADP NOUN VERB CCONJ VERB PART NOUN PUNCT 
13,-34.41558629485126,-26.195468410635254,PRON VERB NOUN ADV VERB NOUN NOUN PUNCT VERB ADP NOUN PART NOUN CCONJ NOUN NOUN NOUN PUNCT 
14,-65.36849506303776,-47.05738690103415,PRON ADV VERB VERB NOUN CCONJ VERB NOUN PUNCT ADP NOUN ADV VERB NOUN PART NOUN NOUN PUNCT VERB NOUN VERB PUNCT NOUN VERB PUNCT NOUN NOUN PART PUNCT 
15,-7.429098244111557,-5.3100962839780115,PRON ADP NOUN VERB PUNCT 
16,-37.63593917152264,-33.05436966506011,ADV VERB NOUN PUNCT ADP DET NOUN VERB NUM PUNCT NUM PUNCT VERB NOUN PART NOUN PART PUNCT 
17,-61.437095855024786,-44.77168865096581,VERB VERB PROPN PART NOUN NOUN PUNCT PROPN VERB NOUN PART NOUN PUNCT PROPN PART NOUN PUNCT PROPN ADP PRON NOUN VERB NOUN PART NOUN PUNCT 
18,-8.90699525249188,-6.882666993647631,VERB NOUN CCONJ NOUN NOUN PUNCT 
19,-58.34706570699925,-44.72182794723349,ADP VERB NOUN NOUN ADP PROPN PROPN PART NUM NUM NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN ADV VERB VERB ADJ NOUN NOUN NOUN PART NOUN PUNCT 
20,-9.752838593934184,-5.946992751408958,NOUN ADV VERB NOUN NOUN PUNCT 
21,-2.4543890741256056,-1.7730975558020352,NOUN VERB NUM 
22,-25.98621562645937,-25.460440370343086,NOUN ADP PROPN DET VERB ADP VERB NOUN NOUN VERB VERB PUNCT 
23,-14.995874237748334,-11.967267533090828,PRON ADV VERB VERB ADP NOUN CCONJ NOUN PUNCT 
24,-40.7875967064497,-32.73868940915078,PROPN NOUN VERB VERB VERB VERB PRON PUNCT ADV VERB NOUN VERB PUNCT PUNCT PROPN PUNCT PROPN PUNCT 
25,-14.658034563054105,-9.590006138766157,DET VERB PROPN NOUN PART NOUN PUNCT 
26,-39.3853571199655,-32.54770162220046,PUNCT NOUN VERB PRON PUNCT PUNCT NOUN NOUN PROPN VERB NOUN VERB VERB PROPN PART NOUN 
27,-4.866856301407289,-2.710151968217625,VERB PART NOUN PUNCT 
28,-19.054037403466943,-11.35315231043349,ADV VERB NOUN VERB VERB NOUN PART NOUN NOUN PUNCT 
29,-5.553195823898271,-6.217895243685277,NOUN ADP NOUN VERB PUNCT 
30,-2.575014122796045,-1.9920351594473007,PROPN VERB PUNCT 
31,-76.791909977218,-55.95763738380028,ADV NOUN NOUN PUNCT PROPN NOUN CCONJ NOUN PART PUNCT NOUN ADV VERB PART NOUN CCONJ NOUN NOUN PUNCT NUM NUM ADJ NOUN CCONJ NOUN NOUN VERB VERB PRON PART NOUN PUNCT 
32,-14.530966696836215,-12.178506667471538,NUM ADJ NOUN ADV ADV VERB ADJ NOUN PUNCT 
33,-46.01425469614117,-43.05889707213647,VERB PUNCT PRON NUM NUM VERB ADJ NOUN VERB ADP NOUN VERB DET PROPN PUNCT PROPN PUNCT VERB VERB PUNCT 
34,-17.795342263882198,-12.405748494144522,ADV NOUN ADV VERB ADJ PART NOUN PUNCT 
35,-23.617218865750623,-16.14636364846925,ADP VERB VERB VERB VERB PART NOUN PART ADJ NOUN PUNCT 
36,-10.342264323296817,-5.9916341670311954,NOUN VERB NUM NUM PUNCT 
37,-66.30848922259926,-60.07217441639432,ADV PUNCT NOUN NOUN ADP NOUN NOUN NOUN PUNCT VERB PROPN NOUN PUNCT NOUN PUNCT PROPN NOUN NOUN ADJ NOUN PUNCT PROPN NOUN NOUN PUNCT ADJ PROPN NOUN ADJ NOUN PUNCT 
38,-30.68650026639038,-23.749933956809414,PROPN PROPN ADP PROPN VERB NOUN NUM NUM PROPN NOUN PART NOUN PUNCT 
39,-42.5248804227139,-44.677643616561035,X VERB PART PROPN CCONJ PROPN VERB NOUN VERB ADP DET NOUN CCONJ ADP DET NOUN ADV PUNCT VERB PUNCT PUNCT 
40,-23.404609049452418,-19.712635617809898,VERB PART ADV VERB PART PRON ADP NUM NOUN PUNCT 
41,-16.646385929933906,-11.228503923594378,ADV ADV PRON PART NOUN ADV VERB PUNCT 
42,-15.263349677352124,-9.079152202471988,NOUN VERB NOUN PART NOUN ADV VERB PUNCT 
43,-48.988030923215526,-38.290944972006926,DET NOUN NOUN CCONJ NOUN PUNCT NOUN CCONJ NOUN PART NOUN PUNCT PROPN NOUN PROPN NUM NUM VERB PROPN PART NOUN 
44,-9.41263647845275,-6.662592311273654,PROPN NOUN PROPN VERB PUNCT 
45,-11.317230235640668,-9.71811813063943,PROPN CCONJ NOUN PROPN VERB PUNCT 
46,-53.50809357828817,-41.743679356550246,NOUN VERB NUM PART NOUN PUNCT ADV PROPN NUM PROPN NOUN ADV VERB PUNCT ADV VERB VERB DET NOUN PART PUNCT 
47,-26.841126771994116,-23.037033311378018,PUNCT VERB PART DET NOUN VERB PRON NOUN PUNCT PROPN VERB PUNCT 
48,-25.54122135889883,-23.44762254632123,PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT NUM NUM ADJ PART NOUN 
49,-9.273865591839202,-6.11020381635039,NOUN NOUN VERB NOUN NOUN PUNCT 
50,-8.759348747569627,-9.683208683140656,PROPN PUNCT PROPN CCONJ PROPN NOUN 
51,-2.2682938184064185,-1.4291623221120207,NOUN NOUN 
52,-16.566148811091605,-12.464627576639923,PROPN PUNCT PROPN NOUN VERB NOUN VERB PART NOUN 
53,-15.589688423209342,-14.052639965651643,NOUN PART NOUN PUNCT ADJ NOUN VERB ADJ NOUN 
